Remove,Replace
pattern,-
color,-
actual_color_shade,-
apparel_pattern,-
collar neck style,-
gender,-
age group,-
boot height,-
color_category,-
sleeve_length,-
dress_occasion,-
is denim,-
shoe category,-
handbag style,-
hat style,-
boot style,-
frame type,-
fabric_material,-
apparel_category,-
sleeve length,-
dress & skirt length,-
bra style,-
is hooded,-
sunglasses frame style,-
eyewear frame style,-
shoulder_style,-
dress_length,-
collar_type,-
fabric_care_instruction,-
is_denim,-
sleeve_style,-
clothing_size,-
closure_type,-
dress occasion,-
neck_style,-
clothing_size_type,-
is_hooded,-
jacket_style,-
"suit_jacket,_blazer_&_sport_coat_type",-
athletic_shirt_&_top_type,-
age_group,-
fabric_content,-
sweatshirt & hoodie type,-
dress type,-
dress_style,-
sweatshirt_&_hoodie_type,-
inseam,-
pant_rise,-
is off-shoulder,-
country_of_origin,-
condition_for_return,-
machine_washable,-
number_of_pieces_in_set,-
lining,-
lining_material,-
